track_id,detections,first_frame,last_frame,track_duration_frames,distance_pixels,avg_speed_pixels_per_frame
1,65,0,65,66,121.9294132075942,1.8758371262706799
2,138,0,141,142,203.86846605051988,1.445875645748368
3,33,0,36,37,52.79385923047852,1.4664960897355144
4,73,26,117,92,153.6507054541539,1.6884692907049879
5,87,0,86,87,190.95522149705167,2.2204095522912985
6,3,66,112,47,63.98763060461887,1.3910354479264972
7,151,0,150,151,137.32528754354456,0.9155019169569637
8,144,0,150,151,286.7087488439746,1.9113916589598308
9,151,0,150,151,149.28262011192666,0.9952174674128444
10,22,1,41,41,80.57995694347233,2.014498923586808
11,73,0,150,151,312.04950173908213,2.080330011593881
12,8,0,8,9,27.90905563728895,3.488631954661119
13,2,0,1,2,0.8160970339847324,0.8160970339847324
15,151,0,150,151,284.6936403302184,1.897957602201456
16,1,0,0,1,0.0,0.0
21,43,13,142,130,100.98387442224715,0.7828207319554042
25,2,4,6,3,1.7397048647805404,0.8698524323902702
29,2,5,9,5,5.827710085548045,1.4569275213870112
34,1,5,5,1,0.0,0.0
45,3,12,15,4,9.045310910624094,3.015103636874698
52,1,12,12,1,0.0,0.0
54,4,13,17,5,6.073777114471447,1.5184442786178618
60,1,17,17,1,0.0,0.0
67,1,20,20,1,0.0,0.0
77,2,25,26,2,3.9741322867234565,3.9741322867234565
84,118,31,150,120,162.36721959116,1.364430416732437
102,1,46,46,1,0.0,0.0
109,1,51,51,1,0.0,0.0
113,71,64,150,87,103.36929367312088,1.201968531082801
119,3,68,71,4,2.303205114414115,0.7677350381380382
121,79,69,150,82,157.31813283431086,1.9421991707939612
123,1,69,69,1,0.0,0.0
136,1,82,82,1,0.0,0.0
143,1,89,89,1,0.0,0.0
152,53,98,150,53,78.74113345918626,1.5142525665228126
153,2,99,100,2,2.5987820955150958,2.5987820955150958
173,10,112,149,38,57.589655651960115,1.5564771797827057
189,3,134,139,6,5.468347615569691,1.0936695231139382
200,4,147,150,4,3.8488055599730346,1.2829351866576781
