frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y
0,1,0,player,0.8988967537879944,523.41015625,188.28729248046875,549.5730590820312,228.34161376953125,536.4915771484375,208.314453125
0,2,0,player,0.8976783752441406,376.4385681152344,221.47622680664062,403.6283264160156,264.10528564453125,390.033447265625,242.79075622558594
0,3,0,player,0.8917366862297058,482.2550048828125,155.8845672607422,506.7445983886719,190.9694366455078,494.49981689453125,173.427001953125
0,4,1,referee,0.8685174584388733,43.35990905761719,257.721435546875,65.44769287109375,308.1316223144531,54.40380096435547,282.926513671875
0,5,0,player,0.8627466559410095,137.0662384033203,199.1907958984375,154.7755889892578,237.5152587890625,145.92091369628906,218.35302734375
0,6,1,referee,0.8543930649757385,377.4397888183594,166.92266845703125,399.0694274902344,204.62046813964844,388.2546081542969,185.77157592773438
0,7,0,player,0.8535296320915222,510.75506591796875,108.41989135742188,524.2391357421875,131.63946533203125,517.4970703125,120.02967834472656
0,8,0,player,0.8447766304016113,69.66073608398438,125.36003112792969,83.01744842529297,156.47494506835938,76.33909606933594,140.91748046875
0,9,0,player,0.8355560898780823,357.7178649902344,132.69525146484375,369.5660095214844,163.73219299316406,363.6419372558594,148.21371459960938
0,10,1,referee,0.8253844976425171,286.068603515625,192.9659423828125,300.9469299316406,234.378662109375,293.50775146484375,213.67230224609375
0,11,0,player,0.7240543365478516,184.6414337158203,202.07102966308594,201.7556915283203,238.38914489746094,193.1985626220703,220.23008728027344
0,12,0,player,0.7044315934181213,597.9674072265625,99.22723388671875,605.5772094726562,123.67340087890625,601.7723388671875,111.4503173828125
0,13,0,player,0.6153546571731567,217.4051971435547,165.38677978515625,229.2340545654297,187.34754943847656,223.3196258544922,176.36715698242188
0,14,2,ball,0.5709237456321716,207.02545166015625,209.9042205810547,216.30364990234375,219.2150115966797,211.66455078125,214.5596160888672
0,15,0,player,0.5482792854309082,221.07513427734375,152.85601806640625,231.02455139160156,179.05235290527344,226.04983520507812,165.95419311523438
0,16,0,player,0.2687174081802368,371.4752197265625,139.6744384765625,380.2793273925781,169.2894744873047,375.87725830078125,154.48196411132812
1,1,0,player,0.873757004737854,524.642578125,188.82870483398438,550.6390380859375,228.75750732421875,537.6408081054688,208.79310607910156
1,2,0,player,0.8941512703895569,376.47894287109375,220.95974731445312,403.28033447265625,262.8403015136719,389.879638671875,241.9000244140625
1,3,0,player,0.8907572031021118,483.1458435058594,156.011962890625,508.1980895996094,191.92442321777344,495.6719665527344,173.96820068359375
1,4,1,referee,0.8750163912773132,42.48705291748047,258.5025329589844,64.52444458007812,308.7552795410156,53.5057487487793,283.62890625
1,5,0,player,0.8669618964195251,139.09600830078125,199.2412567138672,156.8323211669922,237.667724609375,147.96417236328125,218.45449829101562
1,6,1,referee,0.876086413860321,379.79913330078125,168.08689880371094,401.2321472167969,205.46485900878906,390.515625,186.77587890625
1,7,0,player,0.8502615094184875,513.5375366210938,108.63506317138672,527.2327880859375,132.24896240234375,520.3851318359375,120.4420166015625
1,8,0,player,0.83687424659729,74.0427017211914,126.8479995727539,86.52765655517578,155.9050750732422,80.2851791381836,141.3765411376953
1,9,0,player,0.8246548771858215,359.8226318359375,131.89639282226562,371.7765197753906,163.1929473876953,365.799560546875,147.544677734375
1,10,0,player,0.8099072575569153,287.97442626953125,193.5880584716797,302.8859558105469,234.99417114257812,295.43017578125,214.29110717773438
1,11,0,player,0.7647343277931213,186.68081665039062,201.80374145507812,205.5750732421875,242.0020294189453,196.12794494628906,221.90289306640625
1,12,0,player,0.697648286819458,601.1519775390625,96.83782196044922,609.3695678710938,123.24314880371094,605.2607421875,110.04048156738281
1,13,0,player,0.6488754153251648,218.1185760498047,165.14178466796875,230.1465606689453,187.44915771484375,224.132568359375,176.29547119140625
1,15,0,player,0.4860634207725525,222.32913208007812,153.07997131347656,233.18994140625,181.7103729248047,227.75953674316406,167.39517211914062
2,1,0,player,0.768602728843689,523.6776123046875,189.92633056640625,549.2434692382812,229.69239807128906,536.4605712890625,209.80935668945312
2,2,0,player,0.8847672939300537,377.933837890625,221.48023986816406,404.5683288574219,263.0507507324219,391.2510986328125,242.2655029296875
