track_id,class_name,frames_seen,start_frame,end_frame,avg_confidence,distance_pixels,avg_speed_pixels_per_frame,avg_x,avg_y
1,player,65.0,0.0,65.0,0.8317615288954515,121.9294132075942,1.9051470813686593,495.94805720402644,213.45150451660157
2,player,138.0,0.0,141.0,0.7596765624872153,203.86846605051988,1.488090993069488,349.00016607754475,238.54171686587125
3,player,33.0,0.0,36.0,0.7963834766185645,52.79385923047852,1.6498081009524537,489.5568339029948,175.0996865937204
4,player,73.0,26.0,117.0,0.7845774668536775,153.6507054541539,2.1340375757521373,116.85384118067076,258.4373858726188
4,referee,40.0,0.0,112.0,0.7217599220573903,183.0124419312067,4.692626716184787,72.21700716018677,269.10095024108887
5,player,87.0,0.0,86.0,0.851807045525518,190.95522149705167,2.2204095522912985,229.62372212026312,209.12654604856996
6,player,3.0,66.0,112.0,0.7271676460901896,63.98763060461887,31.993815302309436,421.26572672526044,230.41373697916666
6,referee,145.0,0.0,150.0,0.8392241884922159,216.48721530584874,1.5033834396239496,405.9226255219558,223.08150487439386
7,player,151.0,0.0,150.0,0.8457335624473774,137.32528754354456,0.9155019169569637,559.9079597927877,149.4293916209644
8,player,144.0,0.0,150.0,0.7757496163249016,286.7087488439746,2.0049562856222,223.1852847735087,158.2441528108385
9,player,151.0,0.0,150.0,0.7880904246244999,149.28262011192666,0.9952174674128444,405.1747666921047,173.01770251949893
10,player,22.0,1.0,41.0,0.6982873786579479,80.57995694347233,3.8371408068320156,333.7643474232067,218.46188285134056
10,referee,13.0,0.0,29.0,0.6693295928148123,67.01223550454806,5.584352958712338,335.36400428185095,216.283201951247
11,player,73.0,0.0,150.0,0.7540915212402605,312.04950173908213,4.334020857487252,292.17359088218376,245.61579414263164
11,referee,67.0,4.0,149.0,0.7523850491687433,298.5319702254256,4.523211670082206,298.76605338480937,240.45547303157068
12,player,8.0,0.0,8.0,0.6526808105409145,27.90905563728895,3.987007948184136,615.372688293457,111.90667533874512
13,player,2.0,0.0,1.0,0.6321150362491608,0.8160970339847324,0.8160970339847324,223.7260971069336,176.33131408691406
14,ball,1.0,0.0,0.0,0.5709237456321716,0.0,0.0,211.66455078125,214.5596160888672
15,player,151.0,0.0,150.0,0.8269833559232043,284.6936403302184,1.897957602201456,283.4783196859802,196.2607302634132
16,player,1.0,0.0,0.0,0.2687174081802368,0.0,0.0,375.8772583007813,154.48196411132812
21,player,43.0,13.0,142.0,0.712647816469503,100.98387442224715,2.404377962434456,438.7411364178325,172.96251376839572
21,referee,103.0,3.0,150.0,0.7754347894376922,140.62328348417105,1.378659642001677,440.65517240357633,174.86389308299835
25,player,2.0,4.0,6.0,0.5271495580673218,1.7397048647805404,1.7397048647805404,391.05751037597656,231.06749725341797
29,player,2.0,5.0,9.0,0.46266011893749237,5.827710085548045,5.827710085548045,212.5202407836914,222.02220153808594
34,player,1.0,5.0,5.0,0.4655644297599792,0.0,0.0,494.5155029296875,167.15023803710938
45,player,3.0,12.0,15.0,0.47287721435228985,9.045310910624094,4.522655455312047,328.7474060058594,213.65766398111978
45,referee,1.0,10.0,10.0,0.4192851185798645,0.0,0.0,320.70953369140625,215.3253631591797
52,player,1.0,12.0,12.0,0.6129325032234192,0.0,0.0,386.0271911621094,227.60205078125
54,player,4.0,13.0,17.0,0.6298230588436127,6.073777114471447,2.0245923714904825,634.8590698242188,112.74155044555664
60,player,1.0,17.0,17.0,0.4723216295242309,0.0,0.0,487.8255615234375,164.3074951171875
66,ball,14.0,19.0,33.0,0.7895488228116717,34.757017106513125,2.6736167005010096,335.11172267368863,214.35927363804407
67,player,1.0,20.0,20.0,0.5045060515403748,0.0,0.0,346.6474304199219,216.5116424560547
77,player,2.0,25.0,26.0,0.6625317931175232,3.9741322867234565,3.9741322867234565,500.7110290527344,200.33424377441406
84,player,118.0,31.0,150.0,0.7941410574367491,162.36721959116,1.387754013599658,443.43565497964113,201.73608928615764
86,ball,20.0,35.0,54.0,0.6810652434825897,14.872977098165983,0.7827882683245254,328.7370910644531,233.56567916870117
102,player,1.0,46.0,46.0,0.5466193556785583,0.0,0.0,354.57476806640625,226.02328491210935
109,player,1.0,51.0,51.0,0.3982231914997101,0.0,0.0,348.15673828125,222.74009704589844
113,player,71.0,64.0,150.0,0.7862959957458604,103.36929367312088,1.4767041953302982,267.60165792115976,236.0324277206206
113,referee,14.0,55.0,95.0,0.6368694262845176,66.65143434161716,5.1270334108936275,305.06542314801897,226.29769134521484
119,player,3.0,68.0,71.0,0.49772970875104267,2.303205114414115,1.1516025572070574,437.90087890625,208.43478393554688
121,player,79.0,69.0,150.0,0.7935303442085846,157.31813283431086,2.0168991389014215,352.73235929464994,228.08751939218254
123,player,1.0,69.0,69.0,0.4952071011066437,0.0,0.0,465.0635070800781,191.59478759765625
127,ball,1.0,72.0,72.0,0.6265372037887573,0.0,0.0,305.35052490234375,240.7145843505859
129,referee,1.0,74.0,74.0,0.4478115439414978,0.0,0.0,307.2489013671875,225.9877166748047
136,player,1.0,82.0,82.0,0.3943496942520141,0.0,0.0,452.7549743652344,175.93270874023438
143,player,1.0,89.0,89.0,0.4491701424121856,0.0,0.0,148.10546875,254.6389007568359
152,player,53.0,98.0,150.0,0.7429728873495786,78.74113345918626,1.5142525665228126,228.11296830087338,241.59170330695386
153,player,2.0,99.0,100.0,0.48283304274082184,2.5987820955150958,2.5987820955150958,167.45074462890625,249.9622039794922
153,referee,2.0,98.0,101.0,0.4249297231435776,6.085073577049224,6.085073577049224,167.42496490478516,250.46907806396484
158,ball,1.0,100.0,100.0,0.8296071290969849,0.0,0.0,230.7154235839844,243.3128967285156
162,ball,30.0,103.0,148.0,0.6379161506891251,95.55738068308881,3.2950820925203037,169.28728332519532,246.34170227050782
167,ball,1.0,106.0,106.0,0.8715620040893555,0.0,0.0,411.7437744140625,225.474609375
173,player,10.0,112.0,149.0,0.6016475349664688,57.589655651960115,6.398850627995568,162.3628890991211,237.18413238525392
173,referee,25.0,113.0,150.0,0.6738847160339355,70.80096565904965,2.9500402357937356,170.65564575195313,240.17229919433595
177,referee,1.0,116.0,116.0,0.4697367548942566,0.0,0.0,454.6979370117187,190.57211303710935
189,player,3.0,134.0,139.0,0.6730933586756388,5.468347615569691,2.7341738077848454,436.5463460286458,255.88190205891928
189,referee,2.0,136.0,137.0,0.5859012007713318,0.9943294519127881,0.9943294519127881,435.8854675292969,256.28578186035156
200,player,4.0,147.0,150.0,0.7560977339744568,3.8488055599730346,1.2829351866576781,380.3648376464844,245.92209243774414
